id;id_network;short_indicator;indicator;dimension;theme;sub_theme;Type_Impact;Type_Indicators;system_based_classification;System_Units;spatial_representation;Ideal;monitor;Pillar
261;408;Percentage of school dropouts without starting qualifications (VSV'ers) ;Percentage of school dropouts without starting qualifications (VSV'ers) ;Human Capital;Education;Participation in education;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
251;409;Number of schools participating in ONA for knowledge sharing.;Number of schools participating in ONA for knowledge sharing.;Economic Capital;Knowledge Capital;Knowledge spillovers;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
239;410;Number of schools with a broad brugklas;Number of schools with a broad brugklas;Human Capital;Education;Distribution-Education;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
23;411;High level of school advice;High level of school advice;Human Capital;Education;Educational attainment;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
460;412;Available subsidies was granted in accordance with criteria scheme;Available subsidies was granted in accordance with criteria scheme;Quality of Life;Consumption and Income;Subsidies;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
473;413;Overhead (% of total expenses) (BBV requirement);Overhead (% of total expenses) (BBV requirement);Economic Capital;Financial Capital;Investments;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Economic
425;414;Average WOZ value homes (x €1,000);Average WOZ value homes (x €1,000);Quality of Life;Housing;Housing cost;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Social
240;415;% of students who are or have moved up to elementary school recommendation level after 3 years;% of students who are or have moved up to elementary school recommendation level after 3 years;Human Capital;Education;Distribution-Education;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
434;416;Extent of residual risks in the area of participations. The residual risk is the risk to the budget that remains after taking control measures*;Extent of residual risks in the area of participations. The residual risk is the risk to the budget that remains after taking control measures*;Economic Capital;Financial Capital;Net assets/liabilities;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Economic
22;417;Emigration;Emigration;Human Capital;Labour;Migration;Here and now;;System Condition;Population;Neighborhood;Progress and Creativity;5_EVMRA;Economic
62;418;Average rent social housing;Average rent social housing;Quality of Life;Housing;Housing cost;Here and now;;;;;Progress and Creativity;9_SDGs;Social
24;419;Employment per gender;Employment per gender;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
470;420;Formation: Fte per 1,000 inhabitants ;Formation: Fte per 1,000 inhabitants ;Economic Capital;Financial Capital;Investments;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Economic
18;421;Risk educational disadvantage;Risk educational disadvantage;Human Capital;Education;Participation in education;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
38;422;Municipal housing costs single-person household;Municipal housing costs single-person household;Quality of Life;Housing;Housing affordability;Here and now;;;;;Progress and Creativity;11_BBV;Social
50;423;Imports goods-Oceania;Imports of goods from Oceania;Economic Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Monetary;;Progress and Creativity;6_RMBW;Economic
274;424;Number of loans (by district?).;Number of loans (by district?).;Human Capital;Education;Lifelong learning;Here and now;;;;Stadsdeel;Progress and Creativity;10_DBoom;Economic
162;425;Establishments (of companies);Number of establishments (of businesses) per 1,000 inhabitants, age 15-64 ;Economic Capital;Physical Capital;Capital stock;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
15;426;GDP Municipal;Gross Municipal Product;Economic Capital;Consumption and Income;Gross Domestic Product;Here and Now, Elsewhere;;;;;Progress and Creativity;11_BBV;Economic
169;427;Disposable income;Disposable income;Quality of Life;Consumption and Income;Income;Here and now;;System Condition;Monetary;Neighborhood;Progress and Creativity;1_StaatVDS;Economic
60;428;Paid work;Paid work;Human Capital;Labour;Labour force;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
28;429;Ongoing reintegration provisions;Ongoing reintegration provisions;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Progress and Creativity;11_BBV;Economic
34;430;Diversity economy;Diversity economy;Economic Capital;Physical Capital;Capital stock;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
3;431;Mortality;Mortality;Quality of Life;Labour;Demographic changes;Here and now;;System Condition;People;Neighborhood;Progress and Creativity;1_StaatVDS;Economic
471;432;Staffing: Fte per 1,000 inhabitants ;Staffing: Fte per 1,000 inhabitants ;Economic Capital;Financial Capital;Investments;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Economic
263;433;% Former vsv-ers back to school or work;% Former vsv-ers back to school or work;Human Capital;Education;Educational attainment;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
25;434;Income level per gender;Income level per gender;Human Capital;Labour;Distribution-Labour;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
1;435;Employment rate;Employment rate;Quality of Life;Labour;Employment rate;Here and now;Strategic;System Condition;Population;City;Progress and Creativity;5_EVMRA;Economic
440;436;Resilience;Resilience;Economic Capital;Financial Capital;Deficit/Surplus;Here and now, Later, Elsewhere;;;;City;Progress and Creativity;10_DBoom;Economic
414;437;Shoplifting (number per 1,000 population);Shoplifting (number per 1,000 population);Quality of Life;Safety;Crime;Here and now;;;;City;Progress and Creativity;10_DBoom;Social
28;438;Consumer confidence;Consumer confidence;Economic Capital;Consumption and Income;Consumption;Here and now;;Value Creation ;Index;City;Progress and Creativity;5_EVMRA;Economic
81;439;Expenditure plan;Money planned to be spent;Economic Capital;Financial Capital;Expenditures;Here and now, Later;;;;City;Progress and Creativity;8_Duurzame;Economic
422;440;Municipal housing costs multi-person households with rental property (in euros);Municipal housing costs multi-person households with rental property (in euros);Quality of Life;Housing;Housing cost;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Social
153;441;Economic growth Amsterdam Metropolitan Area relative to economic growth of the Netherlands;Economic growth Amsterdam Metropolitan Area relative to economic growth of the Netherlands;Economic Capital;Consumption and Income;Gross Domestic Product;Here and Now, Elsewhere;;;;City;Progress and Creativity;10_DBoom;Economic
439;442;Size of general reserve in relation to budget total >=5%;Size of general reserve in relation to budget total >=5%;Economic Capital;Financial Capital;Deficit/Surplus;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Economic
243;443;children entering high school with a level below the fundamental level 1f for reading skills, distinguishable by urban districts: ;children entering high school with a level below the fundamental level 1f for reading skills, distinguishable by urban districts: ;Human Capital;Education;Basic competencies;Here and now;;;;Stadsdeel;Progress and Creativity;10_DBoom;Economic
28;444;Enrollments electrical eng.;Electrical engineering enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
381;445;Percentage of minima households using at least one minima scheme.;Percentage of minima households using at least one minima scheme.;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
46;446;Enrollments architecture-construction;Architecture and construction enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
4;447;Disposable income;Median disposable income;Quality of Life;Consumption and Income;Distribution-Income- Total;Here and now;Project outcome;System Condition;Monetary;Neighborhood;Progress and Creativity;6_RMBW;Economic
53;448;Enrollments environmental protection;Environmental protection enrolments in Amsterdam per year;Quality of Life;Education;Participation in education;Here and now;;;;City;Progress and Creativity;8_Duurzame;Social
27;449;Persons on welfare benefits;Persons on welfare benefits;Quality of Life;Consumption and Income;Official Development Assistance;Here and now;;;;;Progress and Creativity;11_BBV;Economic
80;450;Outsourced money;Outsourced money;Economic Capital;Financial Capital;Foreign direct investment;Here and now, Later;;;;City;Progress and Creativity;8_Duurzame;Economic
66;451;Employed 45+;% employees in sector 45+;Quality of Life;Labour;Employment rate;Here and now;;;;City;Progress and Creativity;8_Duurzame;Economic
5;452;Population age;Population age;Human Capital;Labour;Demographic changes;Here and now;;System Condition;People;Neighborhood;Progress and Creativity;1_StaatVDS;Economic
14;453;Business friendliness;Business friendliness;Economic Capital;Physical Capital;Infrastructure;Here and now;Tactical;System Condition;Index;Neighborhood;Progress and Creativity;4_Stadsdonut;Economic
429;454;Municipal fund revenue per resident of Amsterdam;Municipal fund revenue per resident of Amsterdam;Economic Capital;Financial Capital;Deficit/Surplus;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Economic
247;455;School breakfast and lunches. Reach number of target students;School breakfast and lunches. Reach number of target students;Human Capital;Education;Basic competencies;Here and now;;;;;Progress and Creativity;10_DBoom;Economic
47;456;Disposable income;Disposable income;Economic Capital;Financial Capital;Expenditures;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
16;457;Establishments companies;Establishments (of companies);Economic Capital;Physical Capital;Capital stock;Here and now;;;;;Progress and Creativity;11_BBV;Economic
433;458;Cash limit < 8.5% (Fido Act);Cash limit < 8.5% (Fido Act);Economic Capital;Financial Capital;Savings;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Economic
270;459;Number of Amsterdam residents who are members of the OBA: 18- 66 years old;Number of Amsterdam residents who are members of the OBA: 18- 66 years old;Human Capital;Education;Lifelong learning;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
38;460;Employment;Employment;Human Capital;Labour;Employment rate;Here and now;;;;;Progress and Creativity;9_SDGs;Economic
419;461;Municipal housing costs single person households with own home (in euros);Municipal housing costs single person households with own home (in euros);Quality of Life;Housing;Housing cost;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Social
46;462;Import goods-Europe;Import of goods from Europe;Economic Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Monetary;;Progress and Creativity;6_RMBW;Economic
421;463;Municipal housing costs multi-person households with own home (in euros);Municipal housing costs multi-person households with own home (in euros);Quality of Life;Housing;Housing cost;Here and now, Later;;;;City;Progress and Creativity;10_DBoom;Social
45;464;Imports goods;Total imports of goods;Economic Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Monetary;;Progress and Creativity;6_RMBW;Economic
4;465;Gross employment;Gross employment;Quality of Life;Labour;Employment rate;Here and now;Strategic;System Condition;Population;City;Progress and Creativity;5_EVMRA;Economic
268;466;Number of Amsterdam residents who are members of the OBA: 4- 11 years;Number of Amsterdam residents who are members of the OBA: 4- 11 years;Human Capital;Education;Lifelong learning;Here and now;;;;City;Progress and Creativity;10_DBoom;Economic
